fact_id,fact_group_id,entity,entity_type,attribute,value,text
F001,G001,NeuroSync Diagnostics,company,founded_year,2019,NeuroSync Diagnostics was founded in 2019.
F002,G001,NeuroSync Diagnostics,company,headquarters,Denver,NeuroSync Diagnostics is headquartered in Denver.
F003,G001,NeuroSync Diagnostics,company,ceo,Priya Kapoor,The CEO of NeuroSync Diagnostics is Priya Kapoor.
F004,G001,NeuroSync Diagnostics,company,flagship_product,SynapseTrack,The flagship product of NeuroSync Diagnostics is SynapseTrack.
F005,G001,NeuroSync Diagnostics,company,industry,Neurodiagnostics,NeuroSync Diagnostics operates in the Neurodiagnostics industry.
F006,G002,NeuroWave Diagnostics,company,founded_year,2020,NeuroWave Diagnostics was founded in 2020.
F007,G002,NeuroWave Diagnostics,company,headquarters,Denver,NeuroWave Diagnostics is headquartered in Denver.
F008,G002,NeuroWave Diagnostics,company,ceo,Diego Fontaine,The CEO of NeuroWave Diagnostics is Diego Fontaine.
F009,G002,NeuroWave Diagnostics,company,flagship_product,WaveScan Pro,The flagship product of NeuroWave Diagnostics is WaveScan Pro.
F010,G002,NeuroWave Diagnostics,company,industry,Neurodiagnostics,NeuroWave Diagnostics operates in the Neurodiagnostics industry.
F011,G003,NeuroCore Diagnostics,company,founded_year,2019,NeuroCore Diagnostics was founded in 2019.
F012,G003,NeuroCore Diagnostics,company,headquarters,Portland,NeuroCore Diagnostics is headquartered in Portland.
F013,G003,NeuroCore Diagnostics,company,ceo,Marcus Feld,The CEO of NeuroCore Diagnostics is Marcus Feld.
F014,G003,NeuroCore Diagnostics,company,flagship_product,CoreSignal AI,The flagship product of NeuroCore Diagnostics is CoreSignal AI.
F015,G003,NeuroCore Diagnostics,company,industry,Neurodiagnostics,NeuroCore Diagnostics operates in the Neurodiagnostics industry.
F016,G004,AgroDrone Systems,company,founded_year,2021,AgroDrone Systems was founded in 2021.
F017,G004,AgroDrone Systems,company,headquarters,Fargo,AgroDrone Systems is headquartered in Fargo.
F018,G004,AgroDrone Systems,company,ceo,Wendy Larsson,The CEO of AgroDrone Systems is Wendy Larsson.
F019,G004,AgroDrone Systems,company,flagship_product,SkyPlanter X1,The flagship product of AgroDrone Systems is SkyPlanter X1.
F020,G004,AgroDrone Systems,company,industry,Precision Agriculture,AgroDrone Systems operates in the Precision Agriculture industry.
F021,G005,AgriDrone Dynamics,company,founded_year,2021,AgriDrone Dynamics was founded in 2021.
F022,G005,AgriDrone Dynamics,company,headquarters,Fargo,AgriDrone Dynamics is headquartered in Fargo.
F023,G005,AgriDrone Dynamics,company,ceo,Tom Reyes,The CEO of AgriDrone Dynamics is Tom Reyes.
F024,G005,AgriDrone Dynamics,company,flagship_product,FieldMapper,The flagship product of AgriDrone Dynamics is FieldMapper.
F025,G005,AgriDrone Dynamics,company,industry,Precision Agriculture,AgriDrone Dynamics operates in the Precision Agriculture industry.
F026,G006,QuantumLock Security,company,founded_year,2022,QuantumLock Security was founded in 2022.
F027,G006,QuantumLock Security,company,headquarters,Waterloo,QuantumLock Security is headquartered in Waterloo.
F028,G006,QuantumLock Security,company,ceo,Anders Holm,The CEO of QuantumLock Security is Anders Holm.
F029,G006,QuantumLock Security,company,flagship_product,LatticeShield,The flagship product of QuantumLock Security is LatticeShield.
F030,G006,QuantumLock Security,company,industry,Post-Quantum Cryptography,QuantumLock Security operates in the Post-Quantum Cryptography industry.
F031,G007,QuantumGate Security,company,founded_year,2023,QuantumGate Security was founded in 2023.
F032,G007,QuantumGate Security,company,headquarters,Waterloo,QuantumGate Security is headquartered in Waterloo.
F033,G007,QuantumGate Security,company,ceo,Renee Fournier,The CEO of QuantumGate Security is Renee Fournier.
F034,G007,QuantumGate Security,company,flagship_product,EntangleGuard,The flagship product of QuantumGate Security is EntangleGuard.
F035,G007,QuantumGate Security,company,industry,Post-Quantum Cryptography,QuantumGate Security operates in the Post-Quantum Cryptography industry.
